,RECORD #(BIBLIO),Class cutter?,New 852,Main entry,,001,Old 852(s),,,,,
0303,b165660661,,ML105.B37 R3 2006,Barsch,TRUE,har050075539,JME 07-705,,,,,
0016,b102959778,,ML105.B85 I6,"Bull, Storm.",TRUE,NYPG764571519-B,JMD 76-106,,,,,
0849,b146423562,,ML105.C593 1996,Claghorn,,33946937,JMD 00-815,,,,,
0313,b113015306,,ML105.C64 I5 1987,Cohen,,NYPG90-B61944,JMF 90-440,,,,,
1065,b164825642,,ML105.D76 M8 2007,,,vendor,JMF 07-482,,,,,
0789,b143455485,,ML105.E36 I5,Eitner,,400180,*R-Music (Eitner. Biographisch-bibliographisches Quellen-Lexikon der Musiker),,,,,
0230,b143456775,,ML105.F48 B5 1980,Fetis,TRUE,2495131,*ME (Fetis),,,,,
0229,b143456751,,ML105.F48 B5 1981,Fetis (2nd ed),TRUE,17703574,*ME (Fetis),,,,,
0212,b10954898x,,ML105.G78 1985,Greene,,NYPG85-B58128,JMD 85-372,,,,,
0158,b120944029,,ML105.H37 F3 1995,Hardy,TRUE,32935788,JME 95-508,,,,,
0531,b119253574,,ML105.H6 1993,Hixon,,NYPG94-B28898,JMD 95-900,,,,,
0931,b155197125,,ML105.H68 2002,,,50339134,JMC 02-34,,,,,
0888,b154063125,,ML105.I54,,,49835547,JMM 02-25,,,,,
0965,b158806086,,ML105.K83 2003,,,53376542,JME 04-529,,,,,
0156,b120759469,,ML105.R24 L37 1994,Larkin,TRUE,30780576,*LE 95-1006; JME 95-183,,,,,
0145,b119792783,,ML105.S33 N4 1994,Sadie,TRUE,31761482,JME 95-78,,,,,
1251,b209138075,,ML105.S35 L3 2016,Schleifer,,915774728,JME 16-271,,,,,
0232,b143575028,,ML105.S36 D5 1929,Schmidl,TRUE,42699301,"*ME (Schmidl, C. Dizionario universlae dei musicisti)",,,,,
0231,b143575016,,ML105.S36 S8 1938,Schmidl,TRUE,17708809,"*ME (Schmidl, C. Dizionario universale dei musicisti. Supplemento)",,,,,
0761,b141478834,,ML105.S612 1997,Slonimsky,,36111932,JMF 01-1296,,,,,
0308,b168126102,,ML105.S65 M5 1947,Springer,TRUE,144717042,*R-Music,,,,,
0153,b107955763,,ML105.S67 1982,Southern,,NYPG83-B45074,JNF 82-96,,,,,
0238,b144147038,,ML105.V4 V3,Vannes,TRUE,993024,"*MKIC (Vannes, R. Dictionnaire universel des luthiers)",,,,,
0637,b126110268,,ML105.W52 1982,Who,,NYPG85-B30021,JMD 96-347,,,,,
0070,b104530054,,ML1055.G4 1977,,,NYPG774843241-B,*R-Phono 77-5773,,,,,
1044,b163687729,yes,ML106.B7 C33 2005,,,62068715,JMD 07-123,,,,,
0567,b120548860,yes,ML106.C8 O76 1992,,,NYPG95-B4363,"JMC 95-92;""Sc C 95-85""",,,,,
1101,b167768670,yes,ML106.P9 T67 2006,,,156918604,JMF 08-411,,,,,
0648,b127452059,yes,ML106.R8 V6,Vodarsky-Shiraeff,,1358324,"*ME (Vodarsky-Shiraeff, A. Russian composers and musicians)",,,,,
0022,b101714890,yes,ML106.U3 A5 1966,American,,NYPG744500150-B,*R-Music,,,,,
0508,b118562757,yes,ML106.U3 A5 1980,,,NYPG82-B7523,JNF 82-133,,,,,
0988,b160206182,yes,ML106.U3 B87 2005,,,2004021382,JMF 05-105,,,,,
0015,b101213815,yes,ML106.U3 C5 1972,,,NYPG734431240-B,*R-Phono 74-306,,,,,
0080,b105303859,yes,ML106.U3 C75,,,NYPG794009045-B,JND 79-4,,,,,
0827,b144499526,yes,ML106.U3 E45 1941,Ellinwood,,2643422,"*ME-Amer. (United States. Works progress administration. District of Columbia. Bio-bibliographical index of musicians. Washington, 1941)",,,,,
0826,b144499496,yes,ML106.U3 E45 1956,Ellinwood,,853092,"*ME-Amer. (United States. Works progress administration. District of Columbia. Bio-bibliographical index of musicians. Washington, 1956)",,,,,
1165,b188891249,yes,ML106.U3 F56 2011,,,663102462,JNF 11-254,,,,,
0064,b112225408,yes,ML106.U3 H8 1989,Husarik,TRUE,NYPG89-B48897,JNE 89-45,,,,,
0996,b160787609,yes,ML106.U3 M87 1997,Musical,,37260856,JME 05-273,,,,,
0458,b117138319,yes,ML106.U3 W2 1992,,,NYPG93-B24889,*LE 93-706,,,,,
1040,b163448681,yes,ML107.N44 B46 2006,,,62738448,JMF 06-594,,,,,
0093,b115010725,,ML108.A46 1989,Ammer,TRUE,NYPG91-B74020,JMD 91-644,,,,,
0209,b109484381,,ML108.B165 1977,Baker,,NYPG85-B49030,*R-Music 85-2579,,,,,
1342,b232348078,,ML108.B55 2023,,,1409657485,JME 24-77,,,,,
0322,b199699756,,ML108.B73 E9 2013,Braccini,TRUE,858812361,JMC 13-166,,,,,
1048,b164248389,,ML108.B73 P7 2005,Braccini,,76879962,JMD 07-275,,,,,
0297,b164770665,,ML108.B73 P73 2005,Braccini,TRUE,71634792,JMD 07-831,,,,,
0010,b100848357,,ML108.E29 H3,,,NYPG734029285-B,"JMF 72-502 Library has: Bd. 1-5 Auslfg. 27-30, 33-35, 37, 39-40.",,,,,
0084,b105376589,,ML108.G855 M8 1978,,,NYPG794089738-B,JME 79-42,,,,,
0348,b114124711,,ML108.K37 1990,,,NYPG91-B1378,JMF 90-1434,,,,,
0613,b124657382,,ML109.F73 1996,,,32664631,JMF 96-483,,,,,
0209,b135055283,,ML1100.C63 1963,Cobbett,TRUE,19938611,JME 98-41,,,,,
0213,b136777570,,ML1100.C64 L5 1997,Cohn,TRUE,39230629,JMF 98-809,,,,,
0037,b102610034,,ML111.5.F67,,,NYPG754484992-B,*LE 75-1524,,,,,
0024,b10458273x,,ML111.5.G54,"Glenn, Wayne",TRUE,NYPG774898400-B,*LE 76-1713,,,,,
0629,b125709791,,ML111.5.M67 1996,,,32167242,*L 96-1432,,,,,
