,RECORD #(BIBLIO),Class cutter?,New 852,Main entry,,001,Old 852(s),,,,,
0201,b10910576x,,ML136.T46 S76 M8,"Tenbury, St. Michael's",,NYPG84-C3633,"*ZB-1103 [Microfilm];""*R-Music 86-2662 [Printed guide]""",,,,,
0905,b154839437,,ML145.B745 1966,,,NYPG02-B3401,*MCP (Breitkopf & HÃ¤rtel),,,,,
0797,b143641451,,ML145.P4 S22 1948,,,2472000,"*MEC (Petrucci)(Sartori, C. Bibliografia delle opere musicali stampate)",,,,,
0906,b154839498,,ML145.W28 S55,,,NYPG02-B3429,*R-Music,,,,,
0582,b123051940,,ML15.N3 R4,,,851071,"*R-USLHG ML15.N3 R4;""*MGZD 73-950"";""*R-Music-Amer."";""*MC (Redway. Music directory of early New York city)"";""MDP (Redway","V. L. Music directory of early New York City)"";""*HND (NYPL) p.v. 29","no. 8"";""*MAD (U.S.) (Redway","V. L. Music directory of early New York City)"";""*RB-*MAD (U.S.) (Redway","V. L. Music directory of early New York City)""",
0368,b114718829,,ML152.C65 1988,,,NYPG91-B52115,JME 91-278,,,,,
0939,b155452927,,ML155.52.G57,,,534023,*L 73-627,,,,,
0164,b123293613,,ML155.59.K64,Koenigsberg,TRUE,NYPG88-B26314,*L 95-1436,,,,,
0129,b107342315,,ML155.C66 MM8 1981,,,NYPG82-B17225,JME 82-38,,,,,
0178,b108450843,,ML156.2.A45 1982,,,NYPG84-B21459,*L 83-4113,,,,,
0124,b118349910,,ML156.2.B33 1991,Badrock,TRUE,24748032,*L 97-1011,,,,,
0210,b135414222,,ML156.2.B37 1992,Barr,TRUE,28504525,*LE 95-1303,,,,,
0162,b123261697,,ML156.2.B38 1972,Bauer,TRUE,13050165,"*L 95-1364;""*L 79-487""",,,,,
0148,b107800780,,ML156.2.B44 M4 1981,,,NYPG83-B28786,*L 83-1256,,,,,
0773,b142980547,,ML156.2.B69 1999,,,40693820,*L 99-732,,,,,
0347,b114092527,,ML156.2.C263,,,19365932,*L 90-2748 Library has: 2nd ed. (1989)-5th ed. (2000).,,,,,
1066,b164930814,,ML156.2.C58,,,77529487,*L 07-46,,,,,
0071,b104550296,,ML156.2.C6 1970,,,NYPG774864081-B,*R-Phono 77-6070,,,,,
0075,b113232548,,ML156.2.C66,Compact,TRUE,NYPG90-S1948,*L 90-1022 Library has: 1989/90-1994.,,,,,
0844,b14631072x,,ML156.2.C67 suppl.,,,3927158,"*R-Phono Suppl. (Coover, J. B. Medieval and Renaissance music on long-playing records)",,,,,
0151,b107917130,,ML156.2.C76 1981b,,,NYPG83-B40964,*R-Phono 83-435,,,,,
0085,b114425814,,ML156.2.D48,Deutsche,TRUE,NYPG91-S3545,*L 95-1761,,,,,
0123,b118342575,,ML156.2.D53,Diapason,TRUE,8900098,"*L 97-87 [Text] Library has: 1994-1997, 2003-;""*L (Diapason. Catalogue gÃ©nÃ©ral Microsillon",disques classiques) [Text] Library has: 1980,"1985-1986."";""*LDC 16339 [Sound disc]""",,,
0088,b105492334,,ML156.2.I55,,,NYPG794214254-B,*LCL (U. S.) 79-1583,,,,,
0130,b118642935,,ML156.2.M6 1993,Moses,TRUE,NYPG94-B14444,*L 94-395,,,,,
0110,b106755407,,ML156.2.R78,,,NYPG804739437-B,*L 80-3441,,,,,
0418,b116358798,,ML156.2.R783 1983,,,NYPG84-B160,*L 84-42,,,,,
0245,b110859777,,ML156.2.R784 1986,,,NYPG87-B13832,*L 87-1144,,,,,
0634,b125884837,,ML156.2.R7847 1996,,,33900103,*L 96-1291,,,,,
0228,b110318869,,ML156.2.R785 1985,,,NYPG86-B50542,*L 86-2656,,,,,
0503,b118440937,,ML156.2.R7853 1993,,,NYPG94-B10221,*L 94-292,,,,,
0730,b137409011,,ML156.2.R7855 1998,,,38295184,*L 98-869,,,,,
0635,b125925657,,ML156.2.R788 1992,,,36498645,*L 97-299 Library has: t. 1 Complete in 3 v.,,,,,
0087,b105473157,,ML156.2.R83,,,NYPG794193169-B,*R-Phono 79-2057,,,,,
0670,b131460134,,ML156.2.R84,,,4491498,*L 97-10493,,,,,
0120,b106989418,,ML156.2.S44,,,NYPG81-B8433,*L 81-2557,,,,,
0246,b110860500,,ML156.2.S44 Suppl.,,,NYPG87-B13919,*L 81-2557 Suppl.,,,,,
0192,b108799785,,ML156.2.S617 1983,,,NYPG84-B63175,*L 84-4579,,,,,
0120,b118122526,,ML156.2.S66 1995,Spoken,TRUE,34140606,*L 96-161 Library has: 1995.,,,,,
0309,b112952173,,ML156.2.W48 1990,,,NYPG90-B53757,*L 90-1952,,,,,
0099,b106285282,,ML156.2.W52,,,NYPG804175140-B,*R-Phono 80-229,,,,,
0049,b110458552,,ML156.4.B5 R6 1986,Rodgers,TRUE,NYPG86-B70597,*L 87-3549,,,,,
0645,b126708423,,ML156.4.B6 B6 1996,,,34477099,"*L 97-2649;""Sc E 00-856""",,,,,
0664,b130165852,,ML156.4.B6 D59 1997,,,36178452,"*L 97-1015;""Sc E 98-704""",,,,,
0128,b118498678,,ML156.4.B6 F19 1992,Fancourt,TRUE,30509904,*L 95-350,,,,,
0444,b116975404,,ML156.4.B6 H3 1993,,,NYPG93-B15568,*L 93-263,,,,,
0240,b110796056,,ML156.4.B6 L42 1987,,,NYPG87-B100045,"*R-Phono. 89-790 Vol. 1;""Sc D 89-461 Library has: Vol. 1-2.""",,,,,
0494,b118217252,,ML156.4.B6 W55 1993,,,NYPG94-B9,*L 93-2188,,,,,
0651,b128163975,,ML156.4.C7 H44 1996,,,36076708,*L 97-637,,,,,
0454,b117123705,,ML156.4.C7 H63 1989,,,NYPG93-B22613,*L 93-661,,,,,
1310,b221760660,,ML156.4.C7 O8 1984,,,11863171,*L 88-1515,,,,,
0356,b114280253,,ML156.4.C7 R64 1991,,,NYPG91-B35293,*L 91-1002,,,,,
0686,b133215453,,ML156.4.C7 W45 1996,,,35305210,*L 97-1377,,,,,
0560,b120273949,,ML156.4.C7 W5 1994,,,30018203,*L 95-902,,,,,
0897,b154635790,,ML156.4.F5 M43 2002,,,vendor,*L 02-6019,,,,,
0336,b113906791,,ML156.4.F5 S69 1990,,,NYPG90-B53000,*L 91-26,,,,,
0144,b119772747,,ML156.4.I5 G66 1994,Gombert,TRUE,32026909,*L 95-488,,,,,
0616,b124865471,,ML156.4.J3 B66 1995,,,31936048,*L 97-61,,,,,
0190,b108719509,,ML156.4.J3 B85 1980,,,NYPG84-B53154,*L 84-1084,,,,,
0187,b127333058,,ML156.4.J3 E75 1996,Erlewine,TRUE,35201244,*L 97-469,,,,,
0281,b112175806,,ML156.4.J3 F5 1984,,,NYPG88-B87539,*L 87-645,,,,,
0063,b11220434x,,ML156.4.J3 H5 1988,Hilbert,TRUE,NYPG88-B91252,*LE 89-398,,,,,
0399,b115326613,,ML156.4.J3 J47 1980z,,,NYPG92-B14043,*L 92-234,,,,,
0102,b116595231,,ML156.4.J3 L6 1992,Lord,TRUE,NYPG93-B870,*L 93-24 Library has: v. 1-34.,,,,,
0135,b118875838,,ML156.4.J3 M8,Music,TRUE,NYPG94-S9885,*L 94-1087,,,,,
0569,b120569279,,ML156.4.J3 P53 1995,,,NYPG95-B4465,*L 95-826,,,,,
0329,b221665262,,ML156.4.J3 R87 1972,Ruppli,TRUE,,*L 72-31,,,,,
0205,b134548735,,ML156.4.J3 S43 1997,Shadwick,TRUE,37398984,*L 97-1380,,,,,
0585,b123277796,,ML156.4.J3 U4 1994,,,30397336,*LE 96-126,,,,,
0018,b103043585,,ML156.4.M6 A24 1959,30 years,TRUE,NYPG764661736-B,*R-Phono 75-9250,,,,,
0274,b111878391,,ML156.4.M6 H3 1988,,,NYPG88-B48036,*L 88-2236,,,,,
0294,b112373938,,ML156.4.M6 L9 1989,,,NYPG89-B69957,*L 89-4334,,,,,
0169,b123543150,,ML156.4.M6 R43 ,R.E.D.,TRUE,34099538,*L 96-65,,,,,
0640,b126271689,,ML156.4.M8 L96 1996,,,NYPGR34951258-B,*L 97-19,,,,,
0216,b137343000,,ML156.4.M8 R39 1998,Raymond,TRUE,39480531,*L 98-861,,,,,
0311,b178846053,,ML156.4.M8 R87 1997,Rust,TRUE,,,,,,,
0669,b131353950,,ML156.4.N48 B57 1989,,,NYPG90-B1350,*L 90-64,,,,,
0136,b118898929,,ML156.4.O46 B69 1994,Blyth,TRUE,32351718,*L 95-1297,,,,,
0079,b113844475,,ML156.4.O46 C41 1988,Celletti,TRUE,NYPG89-B37998,*L 90-2307,,,,,
0166,b12331060x,,ML156.4.O46 G73 1995,Gramophone,TRUE,37177914,*L 97-623,,,,,
0110,b117392339,,ML156.4.O46 H37,Harrison,TRUE,NYPG93-B33512,*L 93-1049,,,,,
0180,b108488354,,ML156.4.O46 H85 1983,,,NYPG84-B25797,JNF 85-91,,,,,
0343,b114051264,,ML156.4.O46 L93 1990,,,NYPG90-B98656,*L 90-2715,,,,,
0486,b11799246x,,ML156.4.O46 M5 1993,,,NYPG93-B72687,*L 93-2043,,,,,
0105,b106336538,,ML156.4.O46 O55,,,NYPG804248195-B,*L 81-235,,,,,
0205,b109311760,,ML156.4.O46 O552 1984,,,NYPG85-B24700,*L 81-235 v. 2,,,,,
0219,b110047229,,ML156.4.O46 O553 1984,,,NYPG86-B13880,*L 81-235 v. 3,,,,,
0140,b10754961x,,ML156.4.O46 O8,,,NYPG82-B9679,*R-Phono 82-368,,,,,
0252,b149293422,,ML156.4.O46 S74 1999,Steiger,TRUE,45542406,*L 01-36,,,,,
0445,b116978363,,ML156.4.P6 B76 1992,,,NYPG93-B16150,*L 93-481,,,,,
0891,b154247406,,ML156.4.P6 B76 1997,,,37801406,*L 02-494,,,,,
0668,b131232940,,ML156.4.P6 B77 1995,,,32014167,*L 98-956,,,,,
1154,b186346360,,ML156.4.P6 C57 2009,,,670107806,*L 10-6804,,,,,
0232,b110367741,,ML156.4.P6 C66 1986,,,NYPG86-B57453,JNE 86-23,,,,,
0214,b136996589,,ML156.4.P6 D38 1998,Davies,TRUE,39631714,*L 98-979,,,,,
0547,b119941314,,ML156.4.P6 D68 1994,,,30914339,*L 95-393,,,,,
0734,b137794824,,ML156.4.P6 F47,,,4230449,*L 79-1465,,,,,
0168,b123346976,,ML156.4.P6 G36 1994,Gambaccini,TRUE,31662859,*L 96-217,,,,,
0183,b12558829x,,ML156.4.P6 G36 G8 1996,Gambaccini [Guinness book of British hit albums],TRUE,36456969,*L 97-1620,,,,,(7th ed)
0189,b128728577,,ML156.4.P6 G36 G85 1996,Gambaccini [Guinness book of top 40 charts],TRUE,36123108,*LE 97-4766,,,,,(2nd ed)
0739,b138530506,,ML156.4.P6 G59 1996,,,36311537,*L 98-1336,,,,,
0151,b120250998,,ML156.4.P6 G74 1995,Green,TRUE,32193111,JME 95-153,,,,,
0159,b121033557,,ML156.4.P6 H36 1994,Hamlyn,TRUE,32088302,*L 96-210,,,,,
0595,b123467433,,ML156.4.P6 H36 1995,,,34068492,*L 96-902,,,,,
0217,b137419077,,ML156.4.P6 H36 1997,Hamlyn,TRUE,40537507,*L 98-1267,,,,,
0675,b132141991,,ML156.4.P6 H589 1989,,,NYPG90-B2496,*L 93-989,,,,,
1309,b221699107,,ML156.4.P6 H59 1982,,,,*L 72-32,,,,,
0674,b131711155,,ML156.4.P6 J613 1992,,,36720750,*L 97-1022. On open reference shelf (Red 9).,,,,,
0118,b106956486,,ML156.4.P6 L42,,,NYPG81-B5397,*L 81-2285,,,,,
0194,b130190731,,ML156.4.P6 M33 1995,McAleer,TRUE,34241584,*L 97-461,,,,,
0034,b107770726,,ML156.4.P6 M87 1983,MusicMaster,TRUE,NYPG83-B25657,*R-Phono. 84-2517,,,,,
0715,b136224477,,ML156.4.P6 M88 1985,,,NYPG86-B93160,*L 87-5114,,,,,
0536,b119544982,,ML156.4.P6 M92 1992,,,NYPG94-B30404,*R-Phono. 84-2517 suppl.,,,,,
0768,b141984909,,ML156.4.P6 O35,,,9468666,*L 89-4435,,,,,
0076,b113268841,,ML156.4.P6 O8 1986,Osborne,TRUE,NYPG90-S602,*L 89-4483 Library has: 1986-1998 (incomplete).,,,,,
0016,b101216038,,ML156.4.P6 P76,,,NYPG734433701-B,*R Phono 73-6363,,,,,
0321,b113274336,,ML156.4.P6 R37,,,NYPG90-S674,*L 90-740 Library has: 3rd ed. (1989)-4th ed. (1991/92).,,,,,
0193,b130163922,,ML156.4.P6 R43,Record,TRUE,37002707,*LA 98-41,,,,,
0461,b117275268,,ML156.4.P6 R62 1992,,,NYPG93-B28054,*L 93-929,,,,,
0860,b149081996,,ML156.4.P6 R87,,,1818389,*L 76-437,,,,,
0100,b106296127,,ML156.4.P6 R875,,,NYPG804187993-B,*R-Phono 80-1488,,,,,
0276,b112029541,,ML156.4.P6 R88 1989,,,NYPG88-B68129,*L 89-1243,,,,,
0160,b121930762,,ML156.4.P6 S35 1978,Schleman,TRUE,NYPY807015424-B,*L 79-104,,,,,
0066,b112370536,,ML156.4.P6 U4 1989,Umphred,TRUE,NYPG89-B69447,*L 89-4322,,,,,
0603,b12392697x,,ML156.4.P6 W4 B5 1995,Whitburn,,32235783,*L 96-54,,,,,
0215,b137194675,,ML156.4.P6 W4 B5 1997,Whitburn,TRUE,37104709,*L 98-1224,,,,,
0281,b159676654,,ML156.4.P6 W4 B5 2004,Whitburn,TRUE,55966764,JME 04-791,,,,,
0127,b118488508,,ML156.4.P6 W4 J6,Whitburn,TRUE,16570617,*R-Phono 89-1225 Library has: 1955-1986.,,,,,
0937,b155350894,,ML156.4.P6 W4 J6 1973,Whitburn,,1103357,*L 75-1511,,,,,
0263,b154884443,,ML156.4.P6 W4 J6 1983,Whitburn,TRUE,NYPG02-B3511,*R-Music 80-831,,,,,
0262,b111307909,,ML156.4.P6 W4 J6 1986,Whitburn,,NYPG87-B82114,*L 88-78,,,,,
0416,b116196841,,ML156.4.P6 W4 J6 1989,Whitburn,,NYPG92-B57991,*L 92-1086,,,,,
0673,b131711118,,ML156.4.P6 W4 J6 1993,Whitburn,,28691667,*L 97-1020,,,,,
0630,b125781507,,ML156.4.P6 W4 J6 1994,Whitburn,,31806866,*L 97-125,,,,,
0714,b135768366,,ML156.4.P6 W4 J6 1996,Whitburn,,36077465,*L 99-28,,,,,
0653,b128650990,,ML156.4.P6 W4 J64 1995,Whitburn,,33260542,*L 97-633,,,,,
0631,b125787819,,ML156.4.P6 W4 T6 1995,Whitburn,,32267033,*L 97-84,,,,,
0859,b149049201,,ML156.4.P6 W44,,,16644514,*L 01-5,,,,,
0219,b137849333,,ML156.4.P6 W45 1997,Weller,TRUE,40189725,*L 98-1155,,,,,
0014,b10115074x,,ML156.4.P7 M5,,,NYPG734363257-B,"Sc 016.789-M (Merriam, A. African music on LP);""*L 72-37""",,,,,
0081,b105305005,,ML156.4.P7 S8,,,NYPG794010492-B,*L 76-3273,,,,,
0936,b155350869,,ML156.4.R25 J4,,,549341,*L 73-862,,,,,
0353,b114246269,,ML156.4.R4 W4 1990,,,NYPG91-B30962,*L 75-722 no. 20,,,,,
0170,b123553106,,ML156.4.R6 H68 1994,Hounsome,TRUE,35703526,*L 96-1294,,,,,
0740,b138530907,,ML156.4.R6 N44 1996,,,35915549,*L 98-1268,,,,,
0387,b115051259,,ML156.4.R6 S43 1991,,,NYPG91-B79564,*L 91-2121,,,,,
0282,b15996412x,,ML156.4.R6 S8 2004,Strong,TRUE,56655042,*L 04-6392,,,,,
0056,b111236617,,ML156.4.R6 T55 1987,Tilch,TRUE,NYPG87-B69958,*L 88-522,,,,,
0067,b112378766,,ML156.4.R6 T55 1988,Tilch,TRUE,NYPG89-B70636,*L 89-4352,,,,,
0182,b12548415x,,ML156.4.R6 T55 1993,Tilch,TRUE,35960483,*L 96-1476,,,,,
0593,b123453203,,ML156.4.R6 U46 1994,,,32167136,*L 96-521,,,,,
0103,b11664946x,,ML156.4.R6 W4 1990,Whitburn,TRUE,NYPGR23372842-B,*L 92-1442,,,,,
0477,b117736521,,ML156.4.S6 B6 1993,,,NYPG93-B51794,*L 93-1572,,,,,
0502,b11839910x,,ML156.4.T4 G45 1994,,,31157198,*L 95-127,,,,,
0196,b130503757,,ML156.4.V5 C74 1994,Creighton,TRUE,31139314,*L 97-1350,,,,,
0202,b109206897,,ML156.4.V7 S8 1972,,,NYPG85-B10798,"*L 75-129;""*R-Phono (Stahl","D. Selected discography of solo song)""",,,,
0046,b103006163,,ML156.4.V7 S8 1976,,,NYPG764621819-B,JME 76-217,,,,,
0012,b101932078,,ML156.9.A56,Annual,TRUE,NYPG744729231-S,"*R-Phono 74-619 Library has: 1972, 1974-1977.",,,,,
0206,b13458384x,,ML156.9.E75 1997,Erlewine,TRUE,37593619,*L 98-587,,,,,
0191,b129305467,,ML156.9.E75 A5 1997,Erlewine,TRUE,36167347,JME 00-53,,,,,
0051,b110717600,,ML156.9.I5 1978,Index,TRUE,NYPG86-S1778,*R-Phono 79-410 Library has: 1978/80-1984/87.,,,,,
0202,b133014496,,ML156.9.M37 1996,March,TRUE,35812556,*L 97-1026,,,,,
0834,b145128787,,ML156.9.M9,,,420278,*R-Phono (Music Library Association. Record ratings),,,,,
0032,b107604012,,ML156.9.P65 1960,Polart,TRUE,NYPG82-S3018,*R-Phono (Polart index to record reviews) Library has: 1960-67.,,,,,
0211,b135581072,,ML156.A87 C3 1996,Avrutis,TRUE,38560802,*L 98-347,,,,,
0257,b152070795,,ML156.B65,BMI,TRUE,8184576,*MC (BMI performindex),,,,,
0139,b119315853,,ML156.C66 C6 1993,Cooper,TRUE,NYPGR29241645-B,*LE 94-542,,,,,
0020,b103631550,,ML156.G73 E5 1930,[Gramophone] Encylopedia ,TRUE,NYPG764242613-B,*R-Phono 76-1732,,,,,
0013,b102200105,,ML156.G73 E5 1931,Gramophone,TRUE,NYPG754032577-B,*R-Phono 75-374,,,,,
0165,b123293625,,ML156.G73 E5 1936,Gramophone,TRUE,NYPG91-B18425,*L 95-1437,,,,,
0244,b146310998,,ML156.G73 E5 1942,Gramophone,TRUE,4286676,"*R-Phono (Gramophone Shop, Inc., New York. Gramophone shop encyclopedia of recorded music. 1942)",,,,,
0226,b110179183,,ML156.G83 1948,,,NYPG86-B31152,"JME 86-93;""*R-Phono (Gramophone Shop","Inc. New York. Gramophone shop encyclopedia of recorded music. 1948)""",,,,
0005,b100534193,,ML156.G83 1970,,,NYPG720296854-B,*R-Phono 72-791,,,,,
0218,b137704860,,ML156.H36 P4 1997,Hamlyn,TRUE,38991075,JME 98-939,,,,,
0181,b108497793,,ML156.V423 F33 1983,,,NYPG84-B2689,*L 84-1035,,,,,
0938,b155452915,,ML156.V423 R92,,,123016,"*R-Phono;""*L 74-786""",,,,,
0832,b144568743,yes,ML158.6.A35 V47 1999,,,DCLC9848218-B,"*L 00-345;""Sc E 06-1050""",,,,,
0161,b122213919,yes,ML158.6.O6 B59 1995,Blyth,TRUE,34849880,*L 96-806,,,,,
1299,b221440331,yes,ML158.6.O6 O64 1993,,,NYPG94-B8209,*L 94-286,,,,,
0365,b114710223,,ML160,,,17982528,JME 91-395,,,,,
0398,b115318902,,ML160,,,NYPG92-B12632,JME 92-107,,,,,
0309,b168133751,,ML160.A27 R6 1990,Abraham,TRUE,138425243,*MF (New Oxford history of music),,,,,
1033,b163019964,,ML160.G872 2006,,,58828800,JMF 06-243,,,,,
1210,b199380958,,ML160.G872 2010,,,227016322,JMF 13-440,,,,,
1230,b20280169x,,ML160.H2827 2014,,,864391603,JMF 14-264,,,,,
0249,b148674501,,ML160.H84 1960,Hughes,TRUE,10155510,*MF (New Oxford history of music. v. 3),,,,,
0700,b134583437,,ML160.L25 1997,,,36407760,JME 98-173,,,,,
0360,b114348285,,ML160.N44 1990,,,NYPG91-B6719,JML 91-5 Library has: Vol. 2.,,,,,
0855,b148674318,,ML160.N44 vol. 1,,,271828,*MF (New Oxford history of music. v. 1),,,,,
0042,b102920515,,ML160.N44 vol. 10 ML197,,,NYPG754833830-B,"*MF (New Oxford history of music, v. 10)",,,,,
0227,b110295031,,ML160.N44 vol. 6 ML193,,,NYPG86-B46903,*MF (New Oxford history of music. v. 6),,,,,
0039,b102808041,,ML160.N44 vol. 7 ML195,,,NYPG754701641-C,"*MF (New Oxford history of music, v. 7)",,,,,
0158,b108019470,,ML160.N44 vol. 8,,,NYPG83-B52001,*MF (New Oxford history of music. v. 8),,,,,
0857,b148674549,,ML160.N44 vol.4,,,671795,*MF (New Oxford history of music. v. 4),,,,,
0015,b102886027,,ML160.O64 1975,Opera,TRUE,NYPG754795511-B,"*MF (New Oxford history of music, v. 5)",,,,,
0212,b136402239,,ML160.S77 S6 1998,Strunk,TRUE,39379405,JME 98-780,,,,,
0959,b158406710,,ML160.T18 2005,,,54679502,JMF 05-128,,,,,
1319,b221949446,,ML160.T182 2012,,,756045493,JMF 13-188,,,,,
0118,b11806163x,,ML161 1993,Blackmore,TRUE,NYPG93-B73690,JMF 93-1365,,,,,
0935,b155297624,,ML161.H35 2002,,,vendorybp90112250,JME 02-1215,,,,,
0116,b106946432,,ML161.M16,,,NYPG81-B4470,JMD 81-298,,,,,
0331,b222173828,,ML161.P39 C63 2015,Paxman,TRUE,928731895,JMF 16-84,,,,,
0296,b112462066,,ML17.L4 1989,,,NYPG89-B83203,"*LAD 89-8076;""JME 92-26""",,,,,
0312,b113005477,,ML1700,,,NYPG90-B60631,JME 90-130,,,,,
0358,b114322697,,ML1700,,,NYPG91-B42,JMD 90-685,,,,,
0406,b115509793,,ML1700.C8 1991,,,NYPG92-B30808,"JMF 92-389;""*L 93-431""",,,,,
0148,b120192494,,ML1700.J43 1994,Jellinek,TRUE,30336203,JME 95-197,,,,,
0292,b112330277,,ML171.Y8 1989,,,NYPG89-B63890,JME 89-207,,,,,
0334,b11390180x,,ML1711.8.N3 A5 1990,,,NYPG90-B34818,"*R-Music 90-1361;""*L 91-992""",,,,,
1136,b183197987,,ML1711.8.N3 D54 2010,,,263408890,JNF 10-19,,,,,
1332,b225543448,,ML1711.8.N3 G73 2019,,,1120198698,JNE 22-6,,,,,
1185,b196140602,,ML1711.8.N3 H57 2011,,,663102402,JNE 12-139,,,,,
0302,b165190176,,ML1711.8.N3 J33 2006,Jackson,TRUE,77568786,*LE 07-2261,,,,,
0007,b101349312,,ML1711.8.N3 M43 1947,Metropolitan,TRUE,NYPG744097343-B,"*LE 91-1435;""JNF 93-23""",,,,,
0451,b117111077,,ML1711.8.N3 M434 1992,,,NYPG93-B20705,"*L 97-1274;""Berg Coll Merrill ZA3 J23 1992""",,,,,
0695,b134275986,,ML1711.8.N3 M4343 1997,,,NYPG98-B202,"*L 97-13698;""JMF 98-166""",,,,,
0130,b107344610,,ML1711.8.N3 N58,,,NYPG82-B17437,JNE 81-51,,,,,
0870,b15019206x,,ML1711.B67 2001,,,44619526,JMF 01-811,,,,,
0374,b114759819,,ML1711.G735 1990,,,NYPG91-B58415,JND 91-47,,,,,
0372,b11475388x,,ML172.R4 1940,,,NYPG91-B57626,"*R-Music;""*LE 91-1748"";""*MFBE (Reese","G. Music in the middle ages)""",,,,
0373,b114753908,,ML172.R42 1959,,,NYPG91-B57629,"*R-Music (Reese. Music in the Renaissance);""*LE 91-1749""",,,,,
0166,b108166594,,ML1733.8.M5 T45,,,NYPG83-B67986,JMG 82-418,,,,,
0074,b113089004,,ML18.G25 1989,Gart,TRUE,NYPG90-B70852,*LE 90-2306,,,,,
0068,b11258102x,,ML18.M8 1989,Music Industry,TRUE,NYPG89-S5476,*R-Phono 89-4042 Library has: 1988-1989,,,,,
0639,b126232659,,ML18.N35,,,25456753,*LAD 96-1453,,,,,
0083,b114087994,,ML18.R4,Recording,TRUE,NYPG90-S7725,"*LAD 90-2618 [Text] Library has: 1990-;""*LDCRM 4 [CD-ROM] Library has: 2004-"";""JBM 92-673 [Text]""",,,,,
0237,b110611044,,ML18.S37 1985,,,NYPG86-B93413,*LAD 87-173,,,,,
0429,b116592060,,ML18.S38 1992,,,NYPG93-B648,"*LE 93-32;""Sc D 93-1111"";""JBD 02-378""",,,,,
0537,b119629653,,ML18.S9 1994,,,NYPGR29429232-B,*LE 94-1019,,,,,
0182,b108498736,,ML19.A76,,,NYPG84-B2699,*L 83-2344,,,,,
0518,b118795211,,ML19.L9 1993,,,NYPG94-B19502,"MWEB 94-4543;""JNF 95-246""",,,,,
0055,b103351784,,ML19.M87,,,NYPG774092363-B,JME 77-42,,,,,
0177,b108434187,,ML19.S26,,,NYPG84-B19499,"JMG 84-183;""JNG 76-508""",,,,,
0393,b115186906,,ML1900.K6 1991,,,NYPG92-B4236,JMD 92-36,,,,,
0980,b159918078,,ML1900.K6 2004,,,56583297,JME 05-173,,,,,
0985,b160135230,,ML193.B76 2004,,,vendor,JMF 05-97,,,,,
1024,b161938322,,ML194.C23 2005,,,57893415,JME 06-115,,,,,
0317,b11309579x,,ML195.H28 1990,,,NYPG90-B71715,JME 90-175,,,,,
1164,b188891213,,ML1950.L42 2010,,,636921467,JMD 11-992,,,,,
0305,b112870430,,ML196.H34 1989,,,NYPG90-B44480,JME 90-100,,,,,
0433,b116783072,,ML197.A9,,,NYPGR504195-B,"Sc 780.9-A (Austin, W. Music in the 20th century);""*MFBL (Austin","W. W. Music in the 20th century)""",,,,
0195,b108851163,,ML197.B85 1984,,,NYPG84-B69175,JMF 84-496,,,,,
0978,b159606597,,ML197.C26 2004,,,52381088,JME 04-676,,,,,
0297,b112468184,,ML197.H15 1989,,,NYPG89-B84118,JME 89-338,,,,,
0566,b120547508,,ML197.S634 1994,,,25873864,JMF 96-414,,,,,
0093,b105704118,,ML199.B44,,,NYPG794446178-B,JME 79-153,,,,,
0106,b116902024,,ML200.5.B8 1952,Burton,TRUE,NYPGR599750-B,"Sc 782.8-B (Burton, J. Blue book of Broadway musicals);""*MFCB (U.S.) (Burton","J. Blue book of Broadway musicals)"";""MWED (New York) 13-7075""",,,,
0241,b110818222,,ML200.C5 1987,,,NYPG87-B103389,JNE 88-2,,,,,
0721,b136813525,,ML200.H15 1996,,,34553492,JME 98-480,,,,,
0145,b107763138,,ML200.H17,,,NYPG83-B24882,JNE 83-10,,,,,
1110,b170512320,,ML2075 B66 2008,,,193910626,JME 08-1154,,,,,
0250,b148897381,,ML2075.B87 2000,Burlingame,TRUE,43719034,JME 00-789,,,,,
0344,b114058465,,ML2075.D33 1990,,,NYPG90-B99747,JNE 90-68,,,,,
1005,b161234860,,ML2075.F86 2005,,,vendor,JME 05-601,,,,,
0636,b126019691,,ML2075.L29 1995,,,34192202,JMF 96-510,,,,,
0021,b101608901,,ML2075.L54,,,NYPG744381031-B,"JMD 74-228;""MFL 13-7020"";""*L 93-1916""",,,,,
1097,b167662387,,ML2075.M65 2007,,,72161858,"JME 08-92;""MFL 08-1960""",,,,,
1258,b211413203,,ML2075.S266 2017,,,950751133,JME 17-26,,,,,
0390,b115097764,,ML2075.V5 1990,,,NYPG91-B86310,JMD 91-811,,,,,
0361,b114351454,yes,ML21.G7 P3 1990,,,NYPG91-B7110,JMF 91-84,,,,,
0077,b113270628,,ML246.P83,Publikationen,TRUE,11004454,"JML 76-42 Library has: 1-3, 5-9, 13, 16. Other vols. CLASSED SEPARATELY.",,,,,
1177,b195339587,,ML290.8.N22 G37 2006,,,80744774,"JMN 12-2 [Text];""*WMC-7513 [CD-ROM]""",,,,,
0049,b10307191x,,ML3086.H5 H3,,,NYPG764691917-B,JMD 76-318,,,,,
0705,b134796202,,ML3166.H58,,,287119,JMF 98-50,,,,,
0268,b154901544,,ML3167.H3 1952,Haeussler,TRUE,NYPG02-B3540,*R-Music,,,,,
0136,b107484018,,ML3168.S85,,,NYPG82-B3660,JNF 81-151,,,,,
0317,b188434756,,ML3168.W47 H9 2010,Westermeyer,TRUE,664021132,JMF 11-275,,,,,
